asset_code,serial_number,brand,model,asset_type,category,purchase_date,purchase_price,invoice_number,invoice_date,invoice_url,vendor_name_manual,warranty_months,warranty_expiry,condition,status,capacity_value,capacity_unit,apartment_code,notes
VH-FN-A23-0002,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A23-0003,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A23-0004,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A23-0001,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A23-0002,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A23-0003,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A23-0004,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A23-0005,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MW-A23-0001,null,Croma,CRM2025/2025081900243,Microwave Oven,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-RF-A23-0001,null,Samsung,RR20N1Y1ZSE/HL/2019,Refrigerator,Appliances,null,null,null,null,null,null,null,null,good,allocated,182-Litre,null,null,null
VH-SS-A23-0001,null,null,null,Shoe Stand,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SF-A23-0001,null,null,null,Sofa,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A23-0001,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A23-0002,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A23-0003,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WM-A23-0001,05A05PBW204245T,null,WA70BG4441BGTL,Washing Machine,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A23-0001,19070038603297,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-WH-A23-0002,null,null,null,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A23-0003,19070038603294,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-AC-A24-0001,BCX0P9AM800059W,Samsung,AR12RG3BAWKNNA,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A24-0002,BCX0P9AM800007J,Samsung,AR12RG3BAWKNNA,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A24-0003,BCX0P9AM800068K,Samsung,AR12RG3BAWKNNA,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A24-0001,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A24-0002,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A24-0003,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A24-0001,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A24-0002,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A24-0003,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A24-0004,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A24-0003,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A24-0004,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A24-0005,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A24-0006,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A24-0007,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A24-0001,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A24-0002,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A24-0003,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A24-0004,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A24-0005,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A24-0006,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-DT-A24-0001,null,null,null,Dining Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A24-0001,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A24-0002,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A24-0003,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A24-0004,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-IS-A24-0001,MB50204D25000857,Judge,Optima Plus,Induction Stove,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A24-0001,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A24-0002,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A24-0003,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A24-0004,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A24-0005,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A24-0006,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MW-A24-0001,247PULCTEU02068,Panasonic,NN-ST26JMFDG,Microwave Oven,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-RF-A24-0001,null,Samsung,RR20C1Y23SB/HL/2024,Refrigerator,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SS-A24-0001,null,null,null,Shoe Stand,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SF-A24-0001,null,null,null,Sofa,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A24-0001,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A24-0002,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A24-0003,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WM-A24-0001,03WH5PBMA03711H,Samsung,WA60M4100HY 01,Washing Machine,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A24-0001,19070038603295,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-WH-A24-0002,190700386034,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-AC-A41-0001,0000141,Daikin,FTL35TV16W1,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A41-0002,null,Daikin,FTL35EV16W1+RL35TV16W/2018,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A41-0003,null,null,null,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A41-0004,null,Daikin,null,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A41-0001,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A41-0002,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A41-0003,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A41-0004,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A41-0005,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A41-0001,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A41-0002,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A41-0003,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A41-0004,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A41-0005,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A41-0006,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A41-0001,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A41-0002,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A41-0003,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A41-0004,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A41-0005,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A41-0006,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-DT-A41-0001,null,null,null,Dining Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A41-0001,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A41-0002,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A41-0003,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A41-0004,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-IS-A41-0001,LI02247947925,Judge,Optima Plus,Induction Stove,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A41-0001,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A41-0002,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A41-0003,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A41-0004,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A41-0005,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A41-0006,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A41-0007,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A41-0008,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MW-A41-0001,MEZ67416519,LG,MS2043DB,Microwave Oven,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-RF-A41-0001,null,Samsung,RR24C2823CU/NL/2024,Refrigerator,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SS-A41-0001,null,null,null,Shoe Stand,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SF-A41-0001,null,null,null,Sofa,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A41-0001,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A41-0002,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A41-0003,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WM-A41-0001,1200451,Voltas.beko,WTL6004UEA/BPBPOA,Washing Machine,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A41-0001,null,Haier,ES15V-E1/2018,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A41-0002,null,Haier,ES15V-E1/2018,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A41-0003,null,null,null,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A41-0004,null,Haier,ES15V-E1/2018,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A44-0001,4552355A19DB01177,Voltas.beko,Voltas 123 DZX,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A44-0002,4552355A19DB01533,Voltas,Voltas 123 DZX,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A44-0003,null,Voltas,4502515/2019,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-A44-0004,4552355A19DB01166,null,Voltas 123 DZX,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A44-0001,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A44-0002,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A44-0003,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A44-0004,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-A44-0005,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A44-0001,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A44-0002,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A44-0003,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-A44-0004,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A44-0001,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A44-0002,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A44-0003,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A44-0004,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A44-0005,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-A44-0006,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A44-0001,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A44-0002,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A44-0003,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A44-0004,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A44-0005,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-A44-0006,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-DT-A44-0001,null,null,null,Dining Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A44-0001,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A44-0002,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A44-0003,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A44-0004,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-A44-0005,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-IS-A44-0001,BB03KC1376A41D89,Impex,Optima Plus,Induction Stove,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-A44-0001,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A44-0002,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A44-0003,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A44-0004,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A44-0005,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-A44-0006,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MW-A44-0001,0BFE7WDM502778J,Samsung,MS23K3513AK/TL,Microwave Oven,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-RF-A44-0001,null,Samsung,RR20N1Y1ZSE/HL/2019,Refrigerator,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SS-A44-0001,null,null,null,Shoe Stand,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A44-0001,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A44-0002,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A44-0003,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-A44-0004,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-TV-A44-0001,null,null,null,TV,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WM-A44-0001,03WH5PBM504093J,Samsung,WA60M4100HY/01/TL,Washing Machine,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-A44-0001,null,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-WH-A44-0002,19020038614027,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-WH-A44-0003,19020038613680,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-AC-B11-0001,4552356A19DA90194,Voltas,4502517/2019,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,1.5 Ton / 3517W / 230V,null,null,null
VH-AC-B11-0002,4552355a19db00923,Voltas,4502515/2019,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,1.5 Ton / 3517W / 230V,null,null,null
VH-AC-B11-0003,4552356A19DA90114,Voltas,4502517/2019,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,1.5 Ton / 3517W / 230V,null,null,null
VH-AC-B11-0004,4552356A19DA90175,Voltas,4502517/2019,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,1.5 Ton / 3517W / 230V,null,null,null
VH-CH-B11-0001,null,null,null,Chair,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CH-B11-0002,null,null,null,Chair,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B11-0001,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B11-0002,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B11-0003,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B11-0004,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B11-0005,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B11-0006,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0001,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0002,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0003,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0004,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0005,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0006,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0007,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CB-B11-0008,null,null,null,Cupboard,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-FN-B11-0001,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-B11-0002,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-B11-0003,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-B11-0004,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-FN-B11-0005,null,null,null,Fan,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-IS-B11-0001,BB03KC1376A4080,Impex,OMEGAH2A,Induction Stove,Appliances,null,null,null,null,null,null,null,null,good,allocated,220-240V,null,null,null
VH-MA-B11-0001,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-B11-0002,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-B11-0003,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-B11-0004,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-B11-0005,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-B11-0006,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MW-B11-0001,0BFE7WDM502842J,Samsung,MS23K3513AK/TL/MAY-2019,Microwave Oven,Appliances,null,null,null,null,null,null,null,null,good,allocated,230V / 2450 MHZ 800W,null,null,null
VH-RF-B11-0001,null,Samsung,RR20N1Y1ZSE/HL/2019,Refrigerator,Appliances,null,null,null,null,null,null,null,null,good,allocated,182 Liters,null,null,null
VH-RO-B11-0001,RPI11 00033430,hindustan unilever Pure,null,RO Water Purifier,Kitchen & Dining,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SF-B11-0001,null,null,null,Sofa,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-ST-B11-0001,null,null,null,Study Table,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-ST-B11-0002,null,null,null,Study Table,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-ST-B11-0003,null,null,null,Study Table,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-ST-B11-0004,null,null,null,Study Table,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-TV-B11-0001,null,Baron,null,TV,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WM-B11-0001,03WH5PBM503659H,Samsung,WA60M4100HY 01,Washing Machine,Appliances,null,null,null,null,null,null,null,null,good,allocated,6 Kg / 220 V / 330 W,null,null,null
VH-WH-B11-0001,19020038613734,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-WH-B11-0002,19020038613733,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-WH-B11-0003,19020038613732,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230V,null,null,null
VH-AC-B12-0001,A2551R03639,Vestar,VASKR123X5H/2018,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,1.5 TON / 3600W/240V,null,null,null
VH-AC-B12-0002,null,Vestar,VASKR123X5H/2018,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-B12-0003,GP-A1S12P22PIDUEXA03395,Blue Star,GP-A1S12P22PIDU,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,new,allocated,1.5 TON / 230V,null,null,null
VH-CH-B12-0001,null,null,null,Chair,Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B12-0001,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B12-0002,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
VH-CO-B12-0003,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,Shifa Stores,null,null,good,allocated,null,null,null,null
